n1=20
λc=0.4 MAP=0.5518197799015225 Best

λc=0.1 MAP=0.5454768770622203
λc=0.2 MAP=0.5465676754018227
λc=0.30000000000000004 MAP=0.5469043732581053
λc=0.4 MAP=0.5518197799015225
λc=0.5 MAP=0.5507499369848032
λc=0.6 MAP=0.5517217892570712
λc=0.7000000000000001 MAP=0.547890910771797
λc=0.8 MAP=0.5487518341430911
λc=0.9 MAP=0.5485173973128997
λc=1.0 MAP=0.5490289222627489
λc=1.1 MAP=0.548652632405039
λc=1.2000000000000002 MAP=0.5468948873807382
λc=1.3000000000000003 MAP=0.5471535203693275
λc=1.4000000000000001 MAP=0.5482813542030054
λc=1.5000000000000002 MAP=0.5272333453713247
λc=1.6 MAP=0.5265751163195467
λc=1.7000000000000002 MAP=0.5277690735162887
λc=1.8000000000000003 MAP=0.5279952756511238
λc=1.9000000000000001 MAP=0.5303341921083534
λc=2.0 MAP=0.5307285718109754

